20250218T,3940,4235,3875,4212.55,940268
20250217T,4053.8,4069,3925,3951.7,534149
20250216T,3949.1,4094,3825.15,4049.5,846631
20250213T,4192.8,4198.85,3940,4008.4,631832
20250212T,4210.7,4315.9,4102.2,4138.15,733573
20250211T,4048.95,4288,3961.05,4182.45,1797492
20250210T,4110,4184.95,3833.65,4096.45,1626343
20250209T,4264.3,4267.25,4000,4119.1,1087373
20250206T,4304.95,4364.65,4226.1,4279.05,603537
20250205T,4413.25,4441.2,4267.4,4291.4,778331
20250204T,4500,4597,4388,4408.05,1162274
20250203T,4700,4714,4323.45,4459.05,1647777
20250202T,4750.05,4989.95,4560.1,4602.85,1087215
20250130T,4748.5,5020,4666.35,4792.35,1158231
20250129T,5024.9,5067.7,4704,4725.65,1491656
20250128T,4719,5134,4591.05,4955.45,3519386
20250127T,4851,4912,4214.45,4661.35,4490074
20250126T,5540,5540,5175,5268.05,913642
20250123T,5690,5818.75,5521.75,5628.5,848459
20250122T,5350.75,5874.7,5314.1,5595.5,1382406
20250121T,5969.3,5969.85,5252.6,5350.75,1828654
20250120T,6647,6660.05,5919.75,5977.85,885642
20250119T,6595,6684.65,6451.1,6613.35,309817
20250116T,6580,6635,6390,6579.9,425207
20250115T,6630.8,6694,6515,6576.35,376202
20250114T,6295.95,6749.95,6125.1,6565.15,1600291
20250113T,6189.4,6382.5,5961.2,6196.7,697679
20250112T,6574.25,6575,6030,6145.35,856399
20250109T,6741.85,6879,6553,6672.35,658657
20250108T,6967.25,7000,6705.8,6731.9,423086
20250107T,7299.05,7337.95,6901.65,6970.65,552760
20250106T,7170,7455.95,7160,7247.55,546544
20250105T,7547.25,7590,7135,7166,577518
20250102T,7498,7633.35,7483.35,7544.7,291514
20250101T,7659,7690.65,7440,7483.6,362449
20241231T,7439,7822,7402.9,7597.55,1062831
20241230T,7173,7440,7079.45,7417.3,584671
20241229T,7088,7257.45,6860.3,7199.05,473345
20241226T,7072.05,7315.65,7031.4,7068.45,487256
20241225T,7299,7331.75,7030,7062.95,299128
20241224T,7349.85,7416.85,7216.65,7238.25,None
20241223T,7349.85,7416.85,7216.65,7238.25,234392
20241222T,7358.8,7525,7021.9,7338.95,665435
20241219T,7376.4,7485,7270,7303.65,986053
20241218T,6975.2,7780,6950,7242.75,3113161
20241217T,7280.2,7383.1,7080.6,7101.35,451611
